RPP1  Regional Price Parities,,,,
 ,,,,
Bureau of Economic Analysis ,,,,
Metropolitan Statistical Area,,,,
GeoFips,GeoName,LineCode,Description,2013
14540,"Bowling Green, KY (Metropolitan Statistical Area)",1,RPPs: All items,85.6
14540,"Bowling Green, KY (Metropolitan Statistical Area)",2,  RPPs: Goods,92.5
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,65.4
14540,"Bowling Green, KY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,91.5
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",1,RPPs: All items,104.7
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",2,  RPPs: Goods,105
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,112.3
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,101
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",1,RPPs: All items,120.8
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",2,  RPPs: Goods,111.4
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,146.1
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",4,  RPPs: Services: Other,120.2
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",1,RPPs: All items,85.3
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,97.6
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,58.5
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.3
15260,"Brunswick, GA (Metropolitan Statistical Area)",1,RPPs: All items,86.1
15260,"Brunswick, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,92.4
15260,"Brunswick, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,73
15260,"Brunswick, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,91.4
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",1,RPPs: All items,93.8
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,97.8
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,79.3
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.5
15500,"Burlington, NC (Metropolitan Statistical Area)",1,RPPs: All items,90.2
15500,"Burlington, NC (Metropolitan Statistical Area)",2,  RPPs: Goods,97.6
15500,"Burlington, NC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,71.6
15500,"Burlington, NC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.3
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",1,RPPs: All items,102
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2,  RPPs: Goods,97.8
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,120.4
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.5
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",1,RPPs: All items,97.7
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",2,  RPPs: Goods,92.4
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,115.7
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",4,  RPPs: Services: Other,91.4
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",1,RPPs: All items,89.4
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",2,  RPPs: Goods,97.5
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,65.3
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.7
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",1,RPPs: All items,95.1
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",2,  RPPs: Goods,97.6
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,92
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.3
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",1,RPPs: All items,83.7
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2,  RPPs: Goods,91.2
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,68.2
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,88.6
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",1,RPPs: All items,83.6
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",2,  RPPs: Goods,91.2
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,68.2
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,88.6
16180,"Carson City, NV (Metropolitan Statistical Area)",1,RPPs: All items,97
16180,"Carson City, NV (Metropolitan Statistical Area)",2,  RPPs: Goods,98.8
16180,"Carson City, NV (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,98.6
16180,"Carson City, NV (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
16220,"Casper, WY (Metropolitan Statistical Area)",1,RPPs: All items,98
16220,"Casper, WY (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
16220,"Casper, WY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,94.7
16220,"Casper, WY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.5
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",1,RPPs: All items,91.1
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.8
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,73.9
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",1,RPPs: All items,94.1
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.8
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,81.6
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.5
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",1,RPPs: All items,94.3
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",2,  RPPs: Goods,96.9
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,89
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.1
16620,"Charleston, WV (Metropolitan Statistical Area)",1,RPPs: All items,89.3
16620,"Charleston, WV (Metropolitan Statistical Area)",2,  RPPs: Goods,97.2
16620,"Charleston, WV (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,65.3
16620,"Charleston, WV (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",1,RPPs: All items,96
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",2,  RPPs: Goods,97.6
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,95.8
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.3
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1,RPPs: All items,93.4
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2,  RPPs: Goods,97.2
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,84.6
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
16820,"Charlottesville, VA (Metropolitan Statistical Area)",1,RPPs: All items,98.4
16820,"Charlottesville, VA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.9
16820,"Charlottesville, VA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,112.1
16820,"Charlottesville, VA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.1
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",1,RPPs: All items,90.6
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,72.9
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
16940,"Cheyenne, WY (Metropolitan Statistical Area)",1,RPPs: All items,97.5
16940,"Cheyenne, WY (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,92.1
16940,"Cheyenne, WY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.5
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",1,RPPs: All items,106.6
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",2,  RPPs: Goods,104.1
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,116.9
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,104.3
17020,"Chico, CA (Metropolitan Statistical Area)",1,RPPs: All items,100.2
17020,"Chico, CA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
